Date,Open,High,Low,Close,Adjusted Close,Volume
07/26/2024,218.7,219.49,216.01,217.96,217.47,41601300
07/25/2024,218.93,220.85,214.62,217.49,217.0,51391200
07/24/2024,224.0,224.8,217.13,218.54,218.05,61777600
07/23/2024,224.37,226.94,222.68,225.01,224.5,39960300
07/22/2024,227.01,227.78,223.09,223.96,223.46,48201800
07/19/2024,224.82,226.8,223.28,224.31,223.8,49151500
07/18/2024,230.28,230.44,222.27,224.18,223.67,66034600
07/17/2024,229.45,231.46,226.64,228.88,228.36,57345900
07/16/2024,235.0,236.27,232.33,234.82,234.29,43234300
07/15/2024,236.48,237.23,233.09,234.4,233.87,62631300
07/12/2024,228.92,232.64,228.68,230.54,230.02,53046500
07/11/2024,231.39,232.39,225.77,227.57,227.06,64710600
07/10/2024,229.3,233.08,229.25,232.98,232.45,62627700
07/09/2024,227.93,229.4,226.37,228.68,228.16,48076100
07/08/2024,227.09,227.85,223.25,227.82,227.31,59085900
07/05/2024,221.65,226.45,221.65,226.34,225.83,60412400
07/03/2024,220.0,221.55,219.03,221.55,221.05,37369800
07/02/2024,216.15,220.38,215.1,220.27,219.77,58046200
07/01/2024,212.09,217.51,211.92,216.75,216.26,60402900
06/28/2024,215.77,216.07,210.3,210.62,210.15,82542700
06/27/2024,214.69,215.74,212.35,214.1,213.62,49772700
06/26/2024,211.5,214.86,210.64,213.25,212.77,66213200
06/25/2024,209.15,211.38,208.61,209.07,208.6,56713900
06/24/2024,207.72,212.7,206.59,208.14,207.67,80727000
06/21/2024,210.39,211.89,207.11,207.49,207.02,246421400
06/20/2024,213.93,214.24,208.85,209.68,209.21,86172500
06/18/2024,217.59,218.63,213.0,214.29,213.81,79943300
06/17/2024,213.37,218.95,212.72,216.67,216.18,93728300
06/14/2024,213.85,215.17,211.3,212.49,212.01,70122700
06/13/2024,214.74,216.75,211.6,214.24,213.76,97862700
06/12/2024,207.37,220.2,206.9,213.07,212.59,198134300
06/11/2024,193.65,207.16,193.63,207.15,206.68,172373300
06/10/2024,196.9,197.3,192.15,193.12,192.68,97262100
06/07/2024,194.65,196.94,194.14,196.89,196.45,53103900
06/06/2024,195.69,196.5,194.17,194.48,194.04,41181800
06/05/2024,195.4,196.9,194.87,195.87,195.43,54156800
06/04/2024,194.64,195.32,193.03,194.35,193.91,47471400
06/03/2024,192.9,194.99,192.52,194.03,193.59,50080500
05/31/2024,191.44,192.57,189.91,192.25,191.82,75158300
05/30/2024,190.76,192.18,190.63,191.29,190.86,49947900
05/29/2024,189.61,192.25,189.51,190.29,189.86,53068000
05/28/2024,191.51,193.0,189.1,189.99,189.56,52280100
05/24/2024,188.82,190.58,188.04,189.98,189.55,36294600
05/23/2024,190.98,191.0,186.63,186.88,186.46,51005900
05/22/2024,192.27,192.82,190.27,190.9,190.47,34648500
05/21/2024,191.09,192.73,190.92,192.35,191.92,42309400
05/20/2024,189.33,191.92,189.01,191.04,190.61,44361300
05/17/2024,189.51,190.81,189.18,189.87,189.44,41282900
05/16/2024,190.47,191.1,189.66,189.84,189.41,52845200
05/15/2024,187.91,190.65,187.37,189.72,189.29,70400000
05/14/2024,187.51,188.3,186.29,187.43,187.01,52393600
05/13/2024,185.44,187.1,184.62,186.28,185.86,72044800
05/10/2024,184.9,185.09,182.13,183.05,182.64,50759500
05/09/2024,182.56,184.66,182.11,184.57,183.9,48983000
05/08/2024,182.85,183.07,181.45,182.74,182.08,45057100
05/07/2024,183.45,184.9,181.32,182.4,181.74,77305800
05/06/2024,182.35,184.2,180.42,181.71,181.05,78569700
05/03/2024,186.65,187.0,182.66,183.38,182.72,163224100
05/02/2024,172.51,173.42,170.89,173.03,172.41,94214900
05/01/2024,169.58,172.71,169.11,169.3,168.69,50383100
04/30/2024,173.33,174.99,170.0,170.33,169.72,65934800
04/29/2024,173.37,176.03,173.1,173.5,172.87,68169400
04/26/2024,169.88,171.34,169.18,169.3,168.69,44838400
04/25/2024,169.53,170.61,168.15,169.89,169.28,50558300
04/24/2024,166.54,169.3,166.21,169.02,168.41,48251800
04/23/2024,165.35,167.05,164.92,166.9,166.3,49537800
04/22/2024,165.52,167.26,164.77,165.84,165.24,48116400
04/19/2024,166.21,166.4,164.08,165.0,164.41,67772100
04/18/2024,168.03,168.64,166.55,167.04,166.44,43122900
04/17/2024,169.61,170.65,168.0,168.0,167.39,50901200
04/16/2024,171.75,173.76,168.27,169.38,168.77,73711200
04/15/2024,175.36,176.63,172.5,172.69,172.07,73531800
04/12/2024,174.26,178.36,174.21,176.55,175.91,101593300
04/11/2024,168.34,175.46,168.16,175.04,174.41,91070300
04/10/2024,168.8,169.09,167.11,167.78,167.18,49709300
04/09/2024,168.7,170.08,168.35,169.67,169.06,42451200
04/08/2024,169.03,169.2,168.24,168.45,167.84,37425500
04/05/2024,169.59,170.39,168.95,169.58,168.97,42055200
04/04/2024,170.29,171.92,168.82,168.82,168.21,53704400
04/03/2024,168.79,170.68,168.58,169.65,169.04,47691700
04/02/2024,169.08,169.34,168.23,168.84,168.23,49329500
04/01/2024,171.19,171.25,169.48,170.03,169.42,46240500
03/28/2024,171.75,172.23,170.51,171.48,170.86,65672700
03/27/2024,170.41,173.6,170.11,173.31,172.69,60273300
03/26/2024,170.0,171.42,169.58,169.71,169.1,57388400
03/25/2024,170.57,171.94,169.45,170.85,170.23,54288300
03/22/2024,171.76,173.05,170.06,172.28,171.66,71106600
03/21/2024,177.05,177.49,170.84,171.37,170.75,106181300
03/20/2024,175.72,178.67,175.09,178.67,178.03,53423100
03/19/2024,174.34,176.61,173.03,176.08,175.45,55215200
03/18/2024,175.57,177.71,173.52,173.72,173.09,75604200
03/15/2024,171.17,172.62,170.29,172.62,172.0,121664700
03/14/2024,172.91,174.31,172.05,173.0,172.38,72913500
03/13/2024,172.77,173.19,170.76,171.13,170.51,52488700
03/12/2024,173.15,174.03,171.01,173.23,172.61,59825400
03/11/2024,172.94,174.38,172.05,172.75,172.13,60139500
03/08/2024,169.0,173.7,168.94,170.73,170.11,76114600
03/07/2024,169.15,170.73,168.49,169.0,168.39,71765100
03/06/2024,171.06,171.24,168.68,169.12,168.51,68587700
03/05/2024,170.76,172.04,169.62,170.12,169.51,95132400
03/04/2024,176.15,176.9,173.79,175.1,174.47,81510100
03/01/2024,179.55,180.53,177.38,179.66,179.01,73488000
02/29/2024,181.27,182.57,179.53,180.75,180.1,136682600
02/28/2024,182.51,183.12,180.13,181.42,180.77,48953900
02/27/2024,181.1,183.92,179.56,182.63,181.97,54318900
02/26/2024,182.24,182.76,180.65,181.16,180.51,40867400
02/23/2024,185.01,185.04,182.23,182.52,181.86,45119700
02/22/2024,183.48,184.96,182.46,184.37,183.71,52292200
02/21/2024,181.94,182.89,180.66,182.32,181.66,41529700
02/20/2024,181.79,182.43,180.0,181.56,180.91,53665600
02/16/2024,183.42,184.85,181.67,182.31,181.65,49701400
02/15/2024,183.55,184.49,181.35,183.86,183.2,65434500
02/14/2024,185.32,185.53,182.44,184.15,183.49,54630500
02/13/2024,185.77,186.21,183.51,185.04,184.37,56529500
02/12/2024,188.42,188.67,186.79,187.15,186.48,41781900
02/09/2024,188.65,189.99,188.0,188.85,188.17,45155200
02/08/2024,189.39,189.54,187.35,188.32,187.4,40962000
02/07/2024,190.64,191.05,188.61,189.41,188.49,53439000
02/06/2024,186.86,189.31,186.77,189.3,188.38,43490800
02/05/2024,188.15,189.25,185.84,187.68,186.77,69668800
02/02/2024,179.86,187.33,179.25,185.85,184.94,102518000
02/01/2024,183.99,186.95,183.82,186.86,185.95,64885400
01/31/2024,187.04,187.1,184.35,184.4,183.5,55467800
01/30/2024,190.94,191.8,187.47,188.04,187.12,55859400
01/29/2024,192.01,192.2,189.58,191.73,190.8,47145600
01/26/2024,194.27,194.76,191.94,192.42,191.48,44594000
01/25/2024,195.22,196.27,193.11,194.17,193.22,54822100
01/24/2024,195.42,196.38,194.34,194.5,193.55,53631300
01/23/2024,195.02,195.75,193.83,195.18,194.23,42355600
01/22/2024,192.3,195.33,192.26,193.89,192.94,60133900
01/19/2024,189.33,191.95,188.82,191.56,190.63,68741000
01/18/2024,186.09,189.14,185.83,188.63,187.71,78005800
01/17/2024,181.27,182.93,180.3,182.68,181.79,47317400
01/16/2024,182.16,184.26,180.93,183.63,182.73,65603000
01/12/2024,186.06,186.74,185.19,185.92,185.01,40444700
01/11/2024,186.54,187.05,183.62,185.59,184.69,49128400
01/10/2024,184.35,186.4,183.92,186.19,185.28,46792900
01/09/2024,183.92,185.15,182.73,185.14,184.24,42841800
01/08/2024,182.09,185.6,181.5,185.56,184.66,59144500
01/05/2024,181.99,182.76,180.17,181.18,180.3,62303300
01/04/2024,182.15,183.09,180.88,181.91,181.02,71983600
01/03/2024,184.22,185.88,183.43,184.25,183.35,58414500
01/02/2024,187.15,188.44,183.89,185.64,184.73,82488700
12/29/2023,193.9,194.4,191.73,192.53,191.59,42628800
12/28/2023,194.14,194.66,193.17,193.58,192.64,34049900
12/27/2023,192.49,193.5,191.09,193.15,192.21,48087700
12/26/2023,193.61,193.89,192.83,193.05,192.11,28919300
