Date,Open,High,Low,Close,Adjusted Close,Volume
12/23/2024,254.77,255.65,253.45,255.27,255.27,40828600
12/20/2024,248.04,255.0,245.69,254.49,254.49,147495300
12/19/2024,247.5,252.0,247.09,249.79,249.79,60882300
12/18/2024,252.16,254.28,247.74,248.05,248.05,56774100
12/17/2024,250.08,253.83,249.78,253.48,253.48,51356400
12/16/2024,247.99,251.38,247.65,251.04,251.04,51694800
12/13/2024,247.82,249.29,246.24,248.13,248.13,33155300
12/12/2024,246.89,248.74,245.68,247.96,247.96,32777500
12/11/2024,247.96,250.8,246.26,246.49,246.49,45205800
12/10/2024,246.89,248.21,245.34,247.77,247.77,36914800
12/09/2024,241.83,247.24,241.75,246.75,246.75,44649200
12/06/2024,242.91,244.63,242.08,242.84,242.84,36870600
12/05/2024,243.99,244.54,242.13,243.04,243.04,40033900
12/04/2024,242.87,244.11,241.25,243.01,243.01,44383900
12/03/2024,239.81,242.76,238.9,242.65,242.65,38861000
12/02/2024,237.27,240.79,237.16,239.59,239.59,48137100
11/29/2024,234.81,237.81,233.97,237.33,237.33,28481400
11/27/2024,234.47,235.69,233.81,234.93,234.93,33498400
11/26/2024,233.33,235.57,233.33,235.06,235.06,45986200
11/25/2024,231.46,233.25,229.74,232.87,232.87,90152800
11/22/2024,228.06,230.72,228.06,229.87,229.87,38168300
11/21/2024,228.88,230.16,225.71,228.52,228.52,42108300
11/20/2024,228.06,229.93,225.89,229.0,229.0,35169600
11/19/2024,226.98,230.16,226.66,228.28,228.28,36211800
11/18/2024,225.25,229.74,225.17,228.02,228.02,44686000
11/15/2024,226.4,226.92,224.27,225.0,225.0,47923700
11/14/2024,225.02,228.87,225.0,228.22,228.22,44923900
11/13/2024,224.01,226.65,222.76,225.12,225.12,48566200
11/12/2024,224.55,225.59,223.36,224.23,224.23,40398300
11/11/2024,225.0,225.7,221.5,224.23,224.23,42005600
11/08/2024,227.17,228.66,226.41,226.96,226.96,38328800
11/07/2024,224.63,227.88,224.57,227.48,227.23,42137700
11/06/2024,222.61,226.07,221.19,222.72,222.48,54561100
11/05/2024,221.8,223.95,221.14,223.45,223.2,28111300
11/04/2024,220.99,222.79,219.71,222.01,221.77,44944500
11/01/2024,220.97,225.35,220.27,222.91,222.67,65276700
10/31/2024,229.34,229.83,225.37,225.91,225.66,64370100
10/30/2024,232.61,233.47,229.55,230.1,229.85,47070900
10/29/2024,233.1,234.33,232.32,233.67,233.41,35417200
10/28/2024,233.32,234.73,232.55,233.4,233.14,36087100
10/25/2024,229.74,233.22,229.57,231.41,231.16,38802300
10/24/2024,229.98,230.82,228.41,230.57,230.32,31109500
10/23/2024,234.08,235.14,227.76,230.76,230.51,52287000
10/22/2024,233.89,236.22,232.6,235.86,235.6,38846600
10/21/2024,234.45,236.85,234.45,236.48,236.22,36254500
10/18/2024,236.18,236.18,234.01,235.0,234.74,46431500
10/17/2024,233.43,233.85,230.52,232.15,231.89,32993800
10/16/2024,231.6,232.12,229.84,231.78,231.53,34082200
10/15/2024,233.61,237.49,232.37,233.85,233.59,64751400
10/14/2024,228.7,231.73,228.6,231.3,231.05,39882100
10/11/2024,229.3,229.41,227.34,227.55,227.3,31759200
10/10/2024,227.78,229.5,227.17,229.04,228.79,28183500
10/09/2024,225.23,229.75,224.83,229.54,229.29,33591100
10/08/2024,224.3,225.98,223.25,225.77,225.52,31855700
10/07/2024,224.5,225.69,221.33,221.69,221.45,39505400
10/04/2024,227.9,228.0,224.13,226.8,226.55,37245100
10/03/2024,225.14,226.81,223.32,225.67,225.42,34044200
10/02/2024,225.89,227.37,223.02,226.78,226.53,32880600
10/01/2024,229.52,229.65,223.74,226.21,225.96,63285000
09/30/2024,230.04,233.0,229.65,233.0,232.74,54541900
09/27/2024,228.46,229.52,227.3,227.79,227.54,34026000
09/26/2024,227.3,228.5,225.41,227.52,227.27,36636700
09/25/2024,224.93,227.29,224.02,226.37,226.12,42308700
09/24/2024,228.65,229.35,225.73,227.37,227.12,43556100
09/23/2024,227.34,229.45,225.81,226.47,226.22,54146000
09/20/2024,229.97,233.09,227.62,228.2,227.95,318679900
09/19/2024,224.99,229.82,224.63,228.87,228.62,66781300
09/18/2024,217.55,222.71,217.54,220.69,220.45,59894900
09/17/2024,215.75,216.9,214.5,216.79,216.55,45519300
09/16/2024,216.54,217.22,213.92,216.32,216.08,59357400
09/13/2024,223.58,224.04,221.91,222.5,222.26,36766600
09/12/2024,222.5,223.55,219.82,222.77,222.53,37498200
09/11/2024,221.46,223.09,217.89,222.66,222.42,44587100
09/10/2024,218.92,221.48,216.73,220.11,219.87,51591000
09/09/2024,220.82,221.27,216.71,220.91,220.67,67180000
09/06/2024,223.95,225.24,219.77,220.82,220.58,48423000
09/05/2024,221.63,225.48,221.52,222.38,222.14,36615400
09/04/2024,221.66,221.78,217.48,220.85,220.61,43840200
09/03/2024,228.55,229.0,221.17,222.77,222.53,50190600
08/30/2024,230.19,230.4,227.48,229.0,228.75,52990800
08/29/2024,230.1,232.92,228.88,229.79,229.54,51906300
08/28/2024,227.92,229.86,225.68,226.49,226.24,38052200
08/27/2024,226.0,228.85,224.89,228.03,227.78,35934600
08/26/2024,226.76,227.28,223.89,227.18,226.93,30602200
08/23/2024,225.66,228.22,224.33,226.84,226.59,38677300
08/22/2024,227.79,228.34,223.9,224.53,224.28,43695300
08/21/2024,226.52,227.98,225.05,226.4,226.15,34765500
08/20/2024,225.77,227.17,225.45,226.51,226.26,30299000
08/19/2024,225.72,225.99,223.04,225.89,225.64,40687800
08/16/2024,223.92,226.83,223.65,226.05,225.8,44340200
08/15/2024,224.6,225.35,222.76,224.72,224.47,46414000
08/14/2024,220.57,223.03,219.7,221.72,221.48,41960600
08/13/2024,219.01,221.89,219.01,221.27,221.03,44155300
08/12/2024,216.07,219.51,215.6,217.53,217.29,38028100
08/09/2024,212.1,216.78,211.97,216.24,215.75,42201600
08/08/2024,213.11,214.2,208.83,213.31,212.83,47161100
08/07/2024,206.9,213.64,206.39,209.82,209.35,63516400
08/06/2024,205.3,209.99,201.07,207.23,206.76,69660500
08/05/2024,199.09,213.5,196.0,209.27,208.8,119548600
08/02/2024,219.15,225.6,217.71,219.86,219.36,105568600
08/01/2024,224.37,224.48,217.02,218.36,217.87,62501000
07/31/2024,221.44,223.82,220.63,222.08,221.58,50036300
07/30/2024,219.19,220.33,216.12,218.8,218.31,41643800
07/29/2024,216.96,219.3,215.75,218.24,217.75,36311800
